,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,timestamp,1,2,5
76,76,76,76,3080.0,"(755, 256)","(696, 274)","(702, 245)"
77,77,77,77,3120.0,"(753, 254)","(694, 273)","(700, 244)"
78,78,78,78,3160.0,"(751, 255)","(692, 274)","(698, 244)"
79,79,79,79,3200.0,"(749, 253)","(690, 274)","(696, 244)"
80,80,80,80,3240.0,"(745, 252)","(686, 274)","(691, 244)"
81,81,81,81,3280.0000000000005,"(743, 252)","(684, 273)","(689, 244)"
82,82,82,82,3320.0000000000005,"(740, 252)","(681, 274)","(687, 245)"
83,83,83,83,3360.0,"(739, 251)","(680, 273)","(685, 244)"
84,84,84,84,3400.0,"(735, 252)","(678, 274)","(683, 244)"
85,85,85,85,3440.0,"(732, 251)","(674, 273)","(679, 244)"
86,86,86,86,3480.0,"(730, 252)","(672, 273)","(677, 243)"
87,87,87,87,3520.0,"(727, 252)","(671, 273)","(675, 243)"
88,88,88,88,3560.0,"(725, 252)","(668, 273)","(674, 243)"
89,89,89,89,3600.0,"(723, 253)","(667, 273)","(671, 242)"
90,90,90,90,3640.0,"(719, 253)","(662, 272)","(667, 242)"
91,91,91,91,3680.0,"(717, 253)","(661, 272)","(666, 241)"
92,92,92,92,3720.0,"(715, 253)","(659, 271)","(663, 241)"
93,93,93,93,3760.0000000000014,"(713, 254)","(657, 271)","(662, 241)"
94,94,94,94,3800.0000000000014,"(711, 253)","(655, 270)","(659, 240)"
95,95,95,95,3840.0,"(707, 253)","(652, 270)","(656, 239)"
96,96,96,96,3880.0,"(705, 253)","(650, 268)","(653, 239)"
97,97,97,97,3920.0,"(704, 252)","(648, 268)","(652, 238)"
98,98,98,98,3960.0,"(702, 252)","(646, 268)","(650, 237)"
99,99,99,99,4000.0,"(700, 252)","(644, 267)","(648, 238)"
100,100,100,100,4040.0,"(696, 251)","(641, 268)","(645, 237)"
101,101,101,101,4080.0,"(694, 250)","(639, 267)","(642, 237)"
102,102,102,102,4120.0,"(692, 250)","(637, 267)","(641, 237)"
103,103,103,103,4160.0,"(690, 249)","(636, 268)","(639, 237)"
104,104,104,104,4200.0,"(688, 248)","(633, 268)","(637, 237)"
105,105,105,105,4240.0,"(685, 247)","(630, 269)","(634, 237)"
106,106,106,106,4280.0,"(683, 247)","(628, 270)","(632, 237)"
107,107,107,107,4320.0,"(680, 247)","(626, 271)","(630, 237)"
108,108,108,108,4360.0,"(679, 247)","(624, 272)","(629, 237)"
109,109,109,109,4400.0,"(676, 246)","(622, 272)","(627, 237)"
110,110,110,110,4440.0,"(672, 246)","(618, 274)","(623, 238)"
111,111,111,111,4480.0,"(670, 246)","(617, 275)","(621, 239)"
112,112,112,112,4520.000000000001,"(668, 246)","(614, 276)","(619, 238)"
113,113,113,113,4560.000000000001,"(665, 247)","(612, 277)","(617, 239)"
114,114,114,114,4600.000000000001,"(663, 247)","(611, 277)","(616, 240)"
115,115,115,115,4640.0,"(660, 249)","(607, 278)","(612, 240)"
116,116,116,116,4680.0,"(656, 249)","(605, 278)","(610, 241)"
117,117,117,117,4720.0,"(655, 249)","(604, 278)","(608, 241)"
118,118,118,118,4760.0,"(653, 250)","(602, 278)","(607, 240)"
119,119,119,119,4800.0,"(650, 250)","(600, 279)","(605, 242)"
120,120,120,120,4840.0,"(646, 251)","(597, 278)","(602, 241)"
121,121,121,121,4880.0,"(643, 250)","(595, 278)","(600, 242)"
122,122,122,122,4920.0,"(642, 251)","(593, 278)","(598, 242)"
123,123,123,123,4960.0,"(638, 251)","(591, 278)","(595, 243)"
124,124,124,124,5000.0,"(637, 250)","(589, 277)","(594, 242)"
125,125,125,125,5040.0,"(633, 251)","(584, 277)","(590, 242)"
126,126,126,126,5080.0,"(631, 251)","(583, 276)","(588, 243)"
127,127,127,127,5120.0,"(629, 251)","(580, 275)","(585, 242)"
128,128,128,128,5160.0,"(628, 250)","(578, 275)","(584, 241)"
129,129,129,129,5200.0,"(625, 250)","(575, 273)","(581, 241)"
130,130,130,130,5240.0,"(621, 250)","(572, 273)","(577, 241)"
131,131,131,131,5280.0,"(619, 250)","(568, 271)","(574, 240)"
132,132,132,132,5320.0,"(617, 248)","(567, 271)","(571, 240)"
133,133,133,133,5360.0,"(615, 249)","(564, 270)","(570, 241)"
134,134,134,134,5400.0,"(612, 248)","(563, 270)","(567, 240)"
135,135,135,135,5440.0,"(608, 247)","(559, 269)","(563, 240)"
136,136,136,136,5480.0,"(606, 247)","(557, 269)","(561, 239)"
137,137,137,137,5520.000000000001,"(603, 247)","(555, 269)","(558, 239)"
138,138,138,138,5560.000000000001,"(601, 247)","(553, 269)","(556, 239)"
139,139,139,139,5600.000000000001,"(599, 247)","(550, 269)","(554, 240)"
140,140,140,140,5640.0,"(594, 248)","(547, 269)","(549, 239)"
141,141,141,141,5680.0,"(592, 248)","(544, 269)","(547, 239)"
142,142,142,142,5720.0,"(590, 248)","(542, 270)","(545, 239)"
143,143,143,143,5760.0,"(588, 250)","(539, 270)","(543, 240)"
144,144,144,144,5800.0,"(586, 249)","(537, 270)","(540, 239)"
145,145,145,145,5840.0,"(582, 251)","(531, 271)","(535, 240)"
