id,gid,x,y,dir_x,dir_y,radius,time
101,101,1.26769,-2.68923,-0.99915,-0.00157588,0.1,242.359
101,101,1.20154,-2.68718,-0.999125,-0.00374713,0.1,242.399
101,101,1.13538,-2.68513,-0.9991,-0.00591838,0.1,242.439
101,101,1.06923,-2.68308,-0.999076,-0.00808963,0.1,242.479
101,101,1.00308,-2.68103,-0.999051,-0.0102609,0.1,242.519
101,101,0.936923,-2.67897,-0.999026,-0.0124321,0.1,242.559
101,101,0.870769,-2.67692,-0.999002,-0.0146034,0.1,242.599
101,101,0.804615,-2.67487,-0.998977,-0.0167746,0.1,242.639
101,101,0.738461,-2.67282,-0.998952,-0.0189459,0.1,242.679
101,101,0.672308,-2.67077,-0.998928,-0.0211171,0.1,242.719
101,101,0.606154,-2.66872,-0.998903,-0.0232884,0.1,242.759
101,101,0.54,-2.66667,-0.998878,-0.0254596,0.1,242.799
101,101,0.473846,-2.66462,-0.998854,-0.0276309,0.1,242.839
101,101,0.407692,-2.66256,-0.998829,-0.0298021,0.1,242.879
101,101,0.341538,-2.66051,-0.998804,-0.0319734,0.1,242.919
101,101,0.275385,-2.65846,-0.99878,-0.0341446,0.1,242.959
101,101,0.209231,-2.65641,-0.998755,-0.0363159,0.1,242.999
101,101,0.143077,-2.65436,-0.99873,-0.0384871,0.1,243.039
101,101,0.0769231,-2.65231,-0.998706,-0.0406584,0.1,243.079
101,101,0.0107694,-2.65026,-0.998681,-0.0428296,0.1,243.119
101,101,-0.0553846,-2.64821,-0.998657,-0.0450009,0.1,243.159
101,101,-0.121538,-2.64615,-0.998632,-0.0471721,0.1,243.199
101,101,-0.187692,-2.6441,-0.998607,-0.0493434,0.1,243.239
101,101,-0.253846,-2.64205,-0.998583,-0.0515146,0.1,243.279
101,101,-0.32,-2.64,-0.998558,-0.0536859,0.1,243.319
101,101,-0.386429,-2.64357,-0.998574,-0.0533221,0.1,243.359
101,101,-0.452857,-2.64714,-0.99859,-0.0529583,0.1,243.399
101,101,-0.519286,-2.65071,-0.998605,-0.0525946,0.1,243.439
101,101,-0.585714,-2.65429,-0.998621,-0.0522308,0.1,243.479
101,101,-0.652143,-2.65786,-0.998637,-0.051867,0.1,243.519
101,101,-0.718571,-2.66143,-0.998653,-0.0515033,0.1,243.559
101,101,-0.785,-2.665,-0.998669,-0.0511395,0.1,243.599
101,101,-0.851429,-2.66857,-0.998685,-0.0507757,0.1,243.639
101,101,-0.917857,-2.67214,-0.9987,-0.0504119,0.1,243.679
101,101,-0.984286,-2.67571,-0.998716,-0.0500482,0.1,243.719
101,101,-1.05071,-2.67929,-0.998732,-0.0496844,0.1,243.759
101,101,-1.11714,-2.68286,-0.998748,-0.0493206,0.1,243.799
101,101,-1.18357,-2.68643,-0.998764,-0.0489569,0.1,243.839
101,101,-1.25,-2.69,-0.99878,-0.0485931,0.1,243.879
101,101,-1.31643,-2.69357,-0.998795,-0.0482293,0.1,243.919
101,101,-1.38286,-2.69714,-0.998811,-0.0478656,0.1,243.959
101,101,-1.44929,-2.70071,-0.998827,-0.0475018,0.1,243.999
101,101,-1.51571,-2.70429,-0.998843,-0.047138,0.1,244.039
101,101,-1.58214,-2.70786,-0.998859,-0.0467743,0.1,244.079
101,101,-1.64857,-2.71143,-0.998875,-0.0464105,0.1,244.119
101,101,-1.715,-2.715,-0.998891,-0.0460467,0.1,244.159
101,101,-1.78143,-2.71857,-0.998906,-0.0456829,0.1,244.199
